BacteriaId,Frame,Time,X,Y
NCTRQs4ueconmoYkbHqTtk,1,0.000,454,639
NCTRQs4ueconmoYkbHqTtk,2,0.033,456,641
NCTRQs4ueconmoYkbHqTtk,3,0.067,457,643
NCTRQs4ueconmoYkbHqTtk,4,0.100,456,640
NCTRQs4ueconmoYkbHqTtk,5,0.133,459,643
NCTRQs4ueconmoYkbHqTtk,6,0.167,459,643
NCTRQs4ueconmoYkbHqTtk,7,0.200,462,643
NCTRQs4ueconmoYkbHqTtk,8,0.234,462,645
NCTRQs4ueconmoYkbHqTtk,9,0.267,460,643
NCTRQs4ueconmoYkbHqTtk,10,0.300,459,642
NCTRQs4ueconmoYkbHqTtk,11,0.334,460,639
NCTRQs4ueconmoYkbHqTtk,12,0.367,462,640
NCTRQs4ueconmoYkbHqTtk,13,0.400,461,638
NCTRQs4ueconmoYkbHqTtk,14,0.434,463,638
NCTRQs4ueconmoYkbHqTtk,15,0.467,460,636
NCTRQs4ueconmoYkbHqTtk,16,0.500,465,636
NCTRQs4ueconmoYkbHqTtk,17,0.534,466,636
NCTRQs4ueconmoYkbHqTtk,18,0.567,465,634
NCTRQs4ueconmoYkbHqTtk,19,0.601,462,631
NCTRQs4ueconmoYkbHqTtk,20,0.634,465,634
NCTRQs4ueconmoYkbHqTtk,21,0.667,467,634
NCTRQs4ueconmoYkbHqTtk,22,0.701,464,634
NCTRQs4ueconmoYkbHqTtk,23,0.734,464,634
NCTRQs4ueconmoYkbHqTtk,24,0.767,464,633
NCTRQs4ueconmoYkbHqTtk,25,0.801,466,635
NCTRQs4ueconmoYkbHqTtk,26,0.834,465,635
NCTRQs4ueconmoYkbHqTtk,27,0.868,467,634
NCTRQs4ueconmoYkbHqTtk,28,0.901,465,635
NCTRQs4ueconmoYkbHqTtk,29,0.934,465,635
NCTRQs4ueconmoYkbHqTtk,30,0.968,466,634
NCTRQs4ueconmoYkbHqTtk,31,1.001,467,636
NCTRQs4ueconmoYkbHqTtk,32,1.034,466,634
NCTRQs4ueconmoYkbHqTtk,33,1.068,467,634
NCTRQs4ueconmoYkbHqTtk,34,1.101,464,630
NCTRQs4ueconmoYkbHqTtk,35,1.134,465,627
NCTRQs4ueconmoYkbHqTtk,36,1.168,465,628
NCTRQs4ueconmoYkbHqTtk,37,1.201,464,625
NCTRQs4ueconmoYkbHqTtk,38,1.235,469,625
NCTRQs4ueconmoYkbHqTtk,39,1.268,471,625
NCTRQs4ueconmoYkbHqTtk,40,1.301,473,623
NCTRQs4ueconmoYkbHqTtk,41,1.335,476,623
NCTRQs4ueconmoYkbHqTtk,42,1.368,477,623
NCTRQs4ueconmoYkbHqTtk,43,1.401,479,619
NCTRQs4ueconmoYkbHqTtk,44,1.435,481,623
NCTRQs4ueconmoYkbHqTtk,45,1.468,482,623
NCTRQs4ueconmoYkbHqTtk,46,1.502,483,621
NCTRQs4ueconmoYkbHqTtk,47,1.535,484,619
NCTRQs4ueconmoYkbHqTtk,48,1.568,486,619
NCTRQs4ueconmoYkbHqTtk,49,1.602,485,620
NCTRQs4ueconmoYkbHqTtk,50,1.635,485,617
NCTRQs4ueconmoYkbHqTtk,51,1.668,486,618
NCTRQs4ueconmoYkbHqTtk,52,1.702,488,619
NCTRQs4ueconmoYkbHqTtk,53,1.735,489,618
NCTRQs4ueconmoYkbHqTtk,54,1.768,492,620
NCTRQs4ueconmoYkbHqTtk,55,1.802,492,617
NCTRQs4ueconmoYkbHqTtk,56,1.835,493,617
NCTRQs4ueconmoYkbHqTtk,57,1.869,494,615
NCTRQs4ueconmoYkbHqTtk,58,1.902,495,615
