BacteriaId,Frame,Time,X,Y
QiWboHBAeNUKBYc3xCVtWe,1,0.000,271,356
QiWboHBAeNUKBYc3xCVtWe,2,0.033,273,360
QiWboHBAeNUKBYc3xCVtWe,3,0.067,270,356
QiWboHBAeNUKBYc3xCVtWe,4,0.100,273,357
QiWboHBAeNUKBYc3xCVtWe,5,0.133,274,358
QiWboHBAeNUKBYc3xCVtWe,6,0.167,275,360
QiWboHBAeNUKBYc3xCVtWe,7,0.200,282,364
QiWboHBAeNUKBYc3xCVtWe,8,0.234,277,359
QiWboHBAeNUKBYc3xCVtWe,9,0.267,276,359
QiWboHBAeNUKBYc3xCVtWe,10,0.300,278,357
QiWboHBAeNUKBYc3xCVtWe,11,0.334,280,354
QiWboHBAeNUKBYc3xCVtWe,12,0.367,277,355
QiWboHBAeNUKBYc3xCVtWe,13,0.400,278,356
QiWboHBAeNUKBYc3xCVtWe,14,0.434,278,354
QiWboHBAeNUKBYc3xCVtWe,15,0.467,280,354
QiWboHBAeNUKBYc3xCVtWe,16,0.500,282,355
QiWboHBAeNUKBYc3xCVtWe,17,0.534,280,354
QiWboHBAeNUKBYc3xCVtWe,18,0.567,284,357
QiWboHBAeNUKBYc3xCVtWe,19,0.601,283,356
QiWboHBAeNUKBYc3xCVtWe,20,0.634,284,357
QiWboHBAeNUKBYc3xCVtWe,21,0.667,285,352
QiWboHBAeNUKBYc3xCVtWe,22,0.701,290,356
QiWboHBAeNUKBYc3xCVtWe,23,0.734,291,356
QiWboHBAeNUKBYc3xCVtWe,24,0.767,291,355
QiWboHBAeNUKBYc3xCVtWe,25,0.801,293,356
QiWboHBAeNUKBYc3xCVtWe,26,0.834,291,353
QiWboHBAeNUKBYc3xCVtWe,27,0.868,291,349
QiWboHBAeNUKBYc3xCVtWe,28,0.901,292,353
QiWboHBAeNUKBYc3xCVtWe,29,0.934,288,349
QiWboHBAeNUKBYc3xCVtWe,30,0.968,288,347
QiWboHBAeNUKBYc3xCVtWe,31,1.001,286,348
QiWboHBAeNUKBYc3xCVtWe,32,1.034,288,345
QiWboHBAeNUKBYc3xCVtWe,33,1.068,289,346
QiWboHBAeNUKBYc3xCVtWe,34,1.101,287,346
QiWboHBAeNUKBYc3xCVtWe,35,1.134,291,343
QiWboHBAeNUKBYc3xCVtWe,36,1.168,290,341
QiWboHBAeNUKBYc3xCVtWe,37,1.201,296,342
QiWboHBAeNUKBYc3xCVtWe,38,1.235,296,343
QiWboHBAeNUKBYc3xCVtWe,39,1.268,292,339
QiWboHBAeNUKBYc3xCVtWe,40,1.301,294,339
QiWboHBAeNUKBYc3xCVtWe,41,1.335,300,347
QiWboHBAeNUKBYc3xCVtWe,42,1.368,299,338
QiWboHBAeNUKBYc3xCVtWe,43,1.401,299,334
QiWboHBAeNUKBYc3xCVtWe,44,1.435,302,337
QiWboHBAeNUKBYc3xCVtWe,45,1.468,301,337
QiWboHBAeNUKBYc3xCVtWe,46,1.502,303,334
QiWboHBAeNUKBYc3xCVtWe,47,1.535,306,339
QiWboHBAeNUKBYc3xCVtWe,48,1.568,306,333
QiWboHBAeNUKBYc3xCVtWe,49,1.602,306,336
QiWboHBAeNUKBYc3xCVtWe,50,1.635,306,335
QiWboHBAeNUKBYc3xCVtWe,51,1.668,309,335
QiWboHBAeNUKBYc3xCVtWe,52,1.702,310,338
QiWboHBAeNUKBYc3xCVtWe,53,1.735,307,337
QiWboHBAeNUKBYc3xCVtWe,54,1.768,307,336
QiWboHBAeNUKBYc3xCVtWe,55,1.802,310,336
QiWboHBAeNUKBYc3xCVtWe,56,1.835,309,336
QiWboHBAeNUKBYc3xCVtWe,57,1.869,308,335
QiWboHBAeNUKBYc3xCVtWe,58,1.902,308,332
QiWboHBAeNUKBYc3xCVtWe,59,1.935,311,333
QiWboHBAeNUKBYc3xCVtWe,60,1.969,307,327
QiWboHBAeNUKBYc3xCVtWe,61,2.002,310,333
QiWboHBAeNUKBYc3xCVtWe,62,2.035,313,334
QiWboHBAeNUKBYc3xCVtWe,63,2.069,312,334
QiWboHBAeNUKBYc3xCVtWe,64,2.102,309,330
QiWboHBAeNUKBYc3xCVtWe,65,2.135,309,330
QiWboHBAeNUKBYc3xCVtWe,66,2.169,315,330
