BacteriaId,Frame,Time,X,Y
ZGEFDsa6ZKBYWJ2xLhucj2,1,0.000,451,295
ZGEFDsa6ZKBYWJ2xLhucj2,2,0.033,452,297
ZGEFDsa6ZKBYWJ2xLhucj2,3,0.067,454,297
ZGEFDsa6ZKBYWJ2xLhucj2,4,0.100,450,292
ZGEFDsa6ZKBYWJ2xLhucj2,5,0.133,452,293
ZGEFDsa6ZKBYWJ2xLhucj2,6,0.167,449,294
ZGEFDsa6ZKBYWJ2xLhucj2,7,0.200,448,293
ZGEFDsa6ZKBYWJ2xLhucj2,8,0.234,444,290
ZGEFDsa6ZKBYWJ2xLhucj2,9,0.267,448,291
ZGEFDsa6ZKBYWJ2xLhucj2,10,0.300,453,283
ZGEFDsa6ZKBYWJ2xLhucj2,11,0.334,455,259
ZGEFDsa6ZKBYWJ2xLhucj2,12,0.367,450,264
ZGEFDsa6ZKBYWJ2xLhucj2,13,0.400,452,288
ZGEFDsa6ZKBYWJ2xLhucj2,14,0.434,448,285
ZGEFDsa6ZKBYWJ2xLhucj2,15,0.467,451,286
ZGEFDsa6ZKBYWJ2xLhucj2,16,0.500,454,286
ZGEFDsa6ZKBYWJ2xLhucj2,17,0.534,454,286
ZGEFDsa6ZKBYWJ2xLhucj2,18,0.567,457,283
ZGEFDsa6ZKBYWJ2xLhucj2,19,0.601,463,281
ZGEFDsa6ZKBYWJ2xLhucj2,20,0.634,456,282
ZGEFDsa6ZKBYWJ2xLhucj2,21,0.667,460,279
ZGEFDsa6ZKBYWJ2xLhucj2,22,0.701,465,276
ZGEFDsa6ZKBYWJ2xLhucj2,23,0.734,460,275
ZGEFDsa6ZKBYWJ2xLhucj2,24,0.767,463,275
ZGEFDsa6ZKBYWJ2xLhucj2,25,0.801,462,273
ZGEFDsa6ZKBYWJ2xLhucj2,26,0.834,466,277
ZGEFDsa6ZKBYWJ2xLhucj2,27,0.868,456,281
ZGEFDsa6ZKBYWJ2xLhucj2,28,0.901,465,283
ZGEFDsa6ZKBYWJ2xLhucj2,29,0.934,464,285
ZGEFDsa6ZKBYWJ2xLhucj2,30,0.968,468,284
ZGEFDsa6ZKBYWJ2xLhucj2,31,1.001,462,282
ZGEFDsa6ZKBYWJ2xLhucj2,32,1.034,464,286
ZGEFDsa6ZKBYWJ2xLhucj2,33,1.068,466,287
ZGEFDsa6ZKBYWJ2xLhucj2,34,1.101,467,290
ZGEFDsa6ZKBYWJ2xLhucj2,35,1.134,463,289
ZGEFDsa6ZKBYWJ2xLhucj2,36,1.168,465,289
ZGEFDsa6ZKBYWJ2xLhucj2,37,1.201,467,292
ZGEFDsa6ZKBYWJ2xLhucj2,38,1.235,463,290
ZGEFDsa6ZKBYWJ2xLhucj2,39,1.268,467,287
ZGEFDsa6ZKBYWJ2xLhucj2,40,1.301,465,289
ZGEFDsa6ZKBYWJ2xLhucj2,41,1.335,462,289
ZGEFDsa6ZKBYWJ2xLhucj2,42,1.368,467,291
ZGEFDsa6ZKBYWJ2xLhucj2,43,1.401,468,286
ZGEFDsa6ZKBYWJ2xLhucj2,44,1.435,472,284
ZGEFDsa6ZKBYWJ2xLhucj2,45,1.468,464,282
ZGEFDsa6ZKBYWJ2xLhucj2,46,1.502,472,284
ZGEFDsa6ZKBYWJ2xLhucj2,47,1.535,492,298
ZGEFDsa6ZKBYWJ2xLhucj2,48,1.568,472,284
