BacteriaId,Frame,Time (s),X,Y
ZkVXtRuuuDYrF8wjDQcTxa,1,0.000,403,418
ZkVXtRuuuDYrF8wjDQcTxa,2,0.033,407,414
ZkVXtRuuuDYrF8wjDQcTxa,3,0.067,399,428
ZkVXtRuuuDYrF8wjDQcTxa,4,0.100,410,426
ZkVXtRuuuDYrF8wjDQcTxa,5,0.133,408,425
ZkVXtRuuuDYrF8wjDQcTxa,6,0.167,405,428
ZkVXtRuuuDYrF8wjDQcTxa,7,0.200,408,429
ZkVXtRuuuDYrF8wjDQcTxa,8,0.234,407,428
ZkVXtRuuuDYrF8wjDQcTxa,9,0.267,405,428
ZkVXtRuuuDYrF8wjDQcTxa,10,0.300,407,429
ZkVXtRuuuDYrF8wjDQcTxa,11,0.334,406,426
ZkVXtRuuuDYrF8wjDQcTxa,12,0.367,407,430
ZkVXtRuuuDYrF8wjDQcTxa,13,0.400,406,434
ZkVXtRuuuDYrF8wjDQcTxa,14,0.434,408,434
ZkVXtRuuuDYrF8wjDQcTxa,15,0.467,408,430
ZkVXtRuuuDYrF8wjDQcTxa,16,0.500,409,432
ZkVXtRuuuDYrF8wjDQcTxa,17,0.534,409,433
ZkVXtRuuuDYrF8wjDQcTxa,18,0.567,408,433
ZkVXtRuuuDYrF8wjDQcTxa,19,0.601,408,451
ZkVXtRuuuDYrF8wjDQcTxa,20,0.634,409,452
ZkVXtRuuuDYrF8wjDQcTxa,21,0.667,408,455
ZkVXtRuuuDYrF8wjDQcTxa,22,0.701,408,460
ZkVXtRuuuDYrF8wjDQcTxa,23,0.734,400,467
ZkVXtRuuuDYrF8wjDQcTxa,24,0.767,396,465
ZkVXtRuuuDYrF8wjDQcTxa,25,0.801,417,457
ZkVXtRuuuDYrF8wjDQcTxa,26,0.834,407,468
ZkVXtRuuuDYrF8wjDQcTxa,27,0.868,423,457
ZkVXtRuuuDYrF8wjDQcTxa,28,0.901,418,465
ZkVXtRuuuDYrF8wjDQcTxa,29,0.934,422,464
ZkVXtRuuuDYrF8wjDQcTxa,30,0.968,426,462
ZkVXtRuuuDYrF8wjDQcTxa,31,1.001,435,457
ZkVXtRuuuDYrF8wjDQcTxa,32,1.034,437,455
ZkVXtRuuuDYrF8wjDQcTxa,33,1.068,442,452
ZkVXtRuuuDYrF8wjDQcTxa,34,1.101,437,453
ZkVXtRuuuDYrF8wjDQcTxa,35,1.134,439,453
ZkVXtRuuuDYrF8wjDQcTxa,36,1.168,461,463
ZkVXtRuuuDYrF8wjDQcTxa,37,1.201,446,459
ZkVXtRuuuDYrF8wjDQcTxa,38,1.235,460,463
ZkVXtRuuuDYrF8wjDQcTxa,39,1.268,446,465
ZkVXtRuuuDYrF8wjDQcTxa,40,1.301,454,463
ZkVXtRuuuDYrF8wjDQcTxa,41,1.335,455,467
ZkVXtRuuuDYrF8wjDQcTxa,42,1.368,458,458
ZkVXtRuuuDYrF8wjDQcTxa,43,1.401,462,459
ZkVXtRuuuDYrF8wjDQcTxa,44,1.435,463,465
ZkVXtRuuuDYrF8wjDQcTxa,45,1.468,465,467
ZkVXtRuuuDYrF8wjDQcTxa,46,1.502,464,465
ZkVXtRuuuDYrF8wjDQcTxa,47,1.535,486,471
ZkVXtRuuuDYrF8wjDQcTxa,48,1.568,462,471
ZkVXtRuuuDYrF8wjDQcTxa,49,1.602,466,472
ZkVXtRuuuDYrF8wjDQcTxa,50,1.635,482,473
ZkVXtRuuuDYrF8wjDQcTxa,51,1.668,468,471
ZkVXtRuuuDYrF8wjDQcTxa,52,1.702,477,480
ZkVXtRuuuDYrF8wjDQcTxa,53,1.735,467,485
ZkVXtRuuuDYrF8wjDQcTxa,54,1.768,461,478
ZkVXtRuuuDYrF8wjDQcTxa,55,1.802,463,477
ZkVXtRuuuDYrF8wjDQcTxa,56,1.835,467,480
ZkVXtRuuuDYrF8wjDQcTxa,57,1.869,476,479
