BacteriaId,Frame,Time (s),X,Y
kFwGM4EmvzUUxGPkr55bCk,1,0.000,777,285
kFwGM4EmvzUUxGPkr55bCk,2,0.033,780,280
kFwGM4EmvzUUxGPkr55bCk,3,0.067,784,278
kFwGM4EmvzUUxGPkr55bCk,4,0.100,787,275
kFwGM4EmvzUUxGPkr55bCk,5,0.133,788,275
kFwGM4EmvzUUxGPkr55bCk,6,0.167,790,275
kFwGM4EmvzUUxGPkr55bCk,7,0.200,790,274
kFwGM4EmvzUUxGPkr55bCk,8,0.234,789,273
kFwGM4EmvzUUxGPkr55bCk,9,0.267,792,275
kFwGM4EmvzUUxGPkr55bCk,10,0.300,794,272
kFwGM4EmvzUUxGPkr55bCk,11,0.334,797,273
kFwGM4EmvzUUxGPkr55bCk,12,0.367,799,275
kFwGM4EmvzUUxGPkr55bCk,13,0.400,796,276
kFwGM4EmvzUUxGPkr55bCk,14,0.434,799,277
kFwGM4EmvzUUxGPkr55bCk,15,0.467,800,277
kFwGM4EmvzUUxGPkr55bCk,16,0.500,803,279
kFwGM4EmvzUUxGPkr55bCk,17,0.534,802,276
kFwGM4EmvzUUxGPkr55bCk,18,0.567,806,277
kFwGM4EmvzUUxGPkr55bCk,19,0.601,804,271
kFwGM4EmvzUUxGPkr55bCk,20,0.634,807,273
kFwGM4EmvzUUxGPkr55bCk,21,0.667,809,269
kFwGM4EmvzUUxGPkr55bCk,22,0.701,809,269
kFwGM4EmvzUUxGPkr55bCk,23,0.734,808,269
kFwGM4EmvzUUxGPkr55bCk,24,0.767,810,268
kFwGM4EmvzUUxGPkr55bCk,25,0.801,807,267
kFwGM4EmvzUUxGPkr55bCk,26,0.834,809,267
kFwGM4EmvzUUxGPkr55bCk,27,0.868,811,264
kFwGM4EmvzUUxGPkr55bCk,28,0.901,810,262
kFwGM4EmvzUUxGPkr55bCk,29,0.934,812,264
kFwGM4EmvzUUxGPkr55bCk,30,0.968,814,260
kFwGM4EmvzUUxGPkr55bCk,31,1.001,815,264
kFwGM4EmvzUUxGPkr55bCk,32,1.034,815,262
kFwGM4EmvzUUxGPkr55bCk,33,1.068,817,264
kFwGM4EmvzUUxGPkr55bCk,34,1.101,819,267
kFwGM4EmvzUUxGPkr55bCk,35,1.134,820,261
kFwGM4EmvzUUxGPkr55bCk,36,1.168,819,260
kFwGM4EmvzUUxGPkr55bCk,37,1.201,821,260
kFwGM4EmvzUUxGPkr55bCk,38,1.235,821,257
kFwGM4EmvzUUxGPkr55bCk,39,1.268,820,251
kFwGM4EmvzUUxGPkr55bCk,40,1.301,821,256
kFwGM4EmvzUUxGPkr55bCk,41,1.335,823,255
kFwGM4EmvzUUxGPkr55bCk,42,1.368,827,252
kFwGM4EmvzUUxGPkr55bCk,43,1.401,827,252
kFwGM4EmvzUUxGPkr55bCk,44,1.435,829,254
