BacteriaId,Frame,Time,X,Y
0,0,0.000,640,186
1,0,0.000,223,164
2,0,0.000,725,471
0,1,0.033,642,186
1,1,0.033,225,166
2,1,0.033,730,447
0,2,0.067,636,182
1,2,0.067,222,164
2,2,0.067,727,428
0,3,0.100,642,179
1,3,0.100,222,161
2,3,0.100,723,430
0,4,0.133,642,185
1,4,0.133,224,163
2,4,0.133,742,435
0,5,0.167,643,182
1,5,0.167,224,161
2,5,0.167,741,441
0,6,0.200,642,182
1,6,0.200,224,161
2,6,0.200,743,452
0,7,0.234,642,184
1,7,0.234,225,165
2,7,0.234,741,455
0,8,0.267,643,180
1,8,0.267,225,165
2,8,0.267,764,455
0,9,0.300,644,182
1,9,0.300,222,164
2,9,0.300,751,444
0,10,0.334,643,182
1,10,0.334,223,163
2,10,0.334,770,429
0,11,0.367,650,183
1,11,0.367,223,166
2,11,0.367,780,434
0,12,0.400,646,183
1,12,0.400,224,170
2,12,0.400,804,435
0,13,0.434,647,185
1,13,0.434,223,171
2,13,0.434,795,441
0,14,0.467,646,187
1,14,0.467,220,165
2,14,0.467,794,444
0,15,0.500,644,185
1,15,0.500,221,165
2,15,0.500,798,432
0,16,0.534,647,187
1,16,0.534,222,166
2,16,0.534,798,442
0,17,0.567,642,188
1,17,0.567,223,167
2,17,0.567,789,446
0,18,0.601,645,190
1,18,0.601,222,166
2,18,0.601,803,461
0,19,0.634,644,186
1,19,0.634,222,168
2,19,0.634,797,437
0,20,0.667,642,184
1,20,0.667,226,171
2,20,0.667,801,442
0,21,0.701,643,186
1,21,0.701,223,165
2,21,0.701,804,456
0,22,0.734,641,185
1,22,0.734,224,164
2,22,0.734,812,479
0,23,0.767,641,182
1,23,0.767,229,171
2,23,0.767,810,489
0,24,0.801,639,182
1,24,0.801,225,168
2,24,0.801,803,485
0,25,0.834,636,185
1,25,0.834,226,172
2,25,0.834,802,504
0,26,0.868,634,189
1,26,0.868,226,171
2,26,0.868,796,483
0,27,0.901,632,191
1,27,0.901,223,169
2,27,0.901,798,466
0,28,0.934,632,185
1,28,0.934,225,171
2,28,0.934,813,475
0,29,0.968,631,184
1,29,0.968,226,169
2,29,0.968,813,487
0,30,1.001,634,183
1,30,1.001,228,170
2,30,1.001,825,502
0,31,1.034,634,182
1,31,1.034,230,172
2,31,1.034,819,487
0,32,1.068,636,181
1,32,1.068,227,170
2,32,1.068,798,481
0,33,1.101,636,178
1,33,1.101,228,171
2,33,1.101,807,458
0,34,1.134,635,175
1,34,1.134,230,173
2,34,1.134,803,477
0,35,1.168,634,180
1,35,1.168,228,173
2,35,1.168,796,463
0,36,1.201,632,176
1,36,1.201,227,175
2,36,1.201,814,457
0,37,1.235,629,175
1,37,1.235,227,174
2,37,1.235,804,472
0,38,1.268,630,174
1,38,1.268,229,178
2,38,1.268,800,472
0,39,1.301,625,167
1,39,1.301,229,178
2,39,1.301,782,469
0,40,1.335,620,170
1,40,1.335,226,179
2,40,1.335,784,465
0,41,1.368,623,169
1,41,1.368,226,177
2,41,1.368,798,473
0,42,1.401,619,166
1,42,1.401,229,178
2,42,1.401,782,461
0,43,1.435,619,165
1,43,1.435,227,177
2,43,1.435,801,465
0,44,1.468,625,159
1,44,1.468,232,178
2,44,1.468,780,477
0,45,1.502,616,159
1,45,1.502,229,180
2,45,1.502,795,496
0,46,1.535,616,157
1,46,1.535,228,175
2,46,1.535,814,511
0,47,1.568,615,158
1,47,1.568,228,177
2,47,1.568,833,522
0,48,1.602,617,154
1,48,1.602,231,179
2,48,1.602,818,533
0,49,1.635,616,151
1,49,1.635,229,179
2,49,1.635,800,521
0,50,1.668,614,151
1,50,1.668,231,178
2,50,1.668,797,543
0,51,1.702,613,147
1,51,1.702,231,179
2,51,1.702,796,565
0,52,1.735,614,146
1,52,1.735,230,177
2,52,1.735,813,566
0,53,1.768,615,146
1,53,1.768,235,180
2,53,1.768,824,546
0,54,1.802,614,143
1,54,1.802,233,179
2,54,1.802,802,545
0,55,1.835,622,143
1,55,1.835,229,179
2,55,1.835,802,548
0,56,1.869,616,139
1,56,1.869,233,180
2,56,1.869,803,557
0,57,1.902,616,144
1,57,1.902,229,183
2,57,1.902,814,539
0,58,1.935,621,142
1,58,1.935,235,181
2,58,1.935,815,546
0,59,1.969,618,142
1,59,1.969,231,183
2,59,1.969,799,556
0,60,2.002,622,143
1,60,2.002,231,186
