BacteriaId,Time,X,Y
1,0,152,152
1,1,151,154
1,2,149,154
1,3,144,152
1,4,145,148
1,5,141,146
1,6,145,147
1,7,144,148
1,8,142,147
1,9,139,149
1,10,137,147
1,11,138,145
1,12,133,144
1,13,130,145
1,14,138,143
1,15,135,155
1,16,134,160
1,17,138,152
1,18,127,152
1,19,134,152
1,20,141,163
1,21,137,159
1,22,137,161
1,23,137,163
1,24,114,155
1,25,93,156
1,26,70,163
1,27,70,164
1,28,70,164
1,29,70,162
1,30,63,165
1,31,67,164
1,32,65,164
1,33,63,163
1,34,65,158
1,35,68,155
1,36,68,160
1,37,69,166
1,38,71,166
1,39,71,168
1,40,62,168
1,41,67,165
1,42,57,172
1,43,60,169
1,44,58,170
1,45,60,166
1,46,60,168
1,47,55,170
1,48,54,173
1,49,54,174
1,50,56,198
1,51,51,197
1,52,55,202
1,53,40,219
1,54,49,200
1,55,46,201
1,56,40,203
1,57,39,206
1,58,36,202
1,59,37,205
1,60,35,206
1,61,40,208
1,62,38,209
1,63,34,213
1,64,31,215
1,65,32,220
1,66,33,215
1,67,31,220
1,68,38,221
1,69,37,224
1,70,34,215
1,71,38,220
1,72,29,229
1,73,36,221
1,74,32,225
1,75,33,228
1,76,43,226
1,77,32,225
1,78,30,225
1,79,24,228
1,80,24,229
1,81,24,236
1,82,26,222
1,83,28,222
1,84,30,228
1,85,26,236
1,86,24,236
1,87,37,240
1,88,32,241
1,89,24,244
1,90,24,249
1,91,28,249
1,92,25,252
1,93,24,246
1,94,24,251
1,95,24,251
1,96,24,258
1,97,25,262
1,98,28,264
1,99,30,271
1,100,24,263
1,101,24,264
1,102,24,265
1,103,44,251
1,104,60,248
1,105,78,231
1,106,72,228
1,107,89,234
1,108,86,235
1,109,85,235
1,110,99,221
1,111,122,212
1,112,119,210
1,113,123,207
1,114,121,211
1,115,121,215
1,116,122,217
1,117,122,218
1,118,111,232
1,119,124,253
1,120,124,251
1,121,120,253
1,122,121,247
1,123,120,249
1,124,117,254
1,125,113,255
1,126,114,250
1,127,113,251
1,128,115,254
1,129,115,257
1,130,116,256
1,131,115,258
1,132,110,256
1,133,108,260
1,134,110,262
1,135,109,262
1,136,108,267
1,137,109,265
1,138,109,263
1,139,108,262
1,140,107,265
1,141,106,265
1,142,103,266
1,143,103,272
1,144,104,271
1,145,104,269
1,146,103,267
1,147,103,268
1,148,103,270
